site,protocol,latitude,longitude,downloads
Barro Colorado Nature Monument - Soberania National Park,GIS,9.152102,-79.84648,21
Bukit Barisan,GIS,-5.25,104.166667,14
Bwindi Impenetrable Forest,GIS,-1.080556,29.661389,13
Caxiuanã,GIS,-1.729167,-51.473611,10
Central Suriname Nature Reserve,GIS,4.73752,-56.187794,12
Cocha Cashu - Manu National Park,GIS,-11.856389,-71.721389,10
Korup National Park,GIS,5.07389,8.85472,8
Manaus,GIS,-2.929058,-59.976408,10
Nam Kading,GIS,18.316667,104,11
Nouabalé Ndoki,GIS,2.518805,16.595078,10
Pasoh Forest Reserve,GIS,2.982,102.313,15
Ranomafana,GIS,-21.1333,47.4167,11
Udzungwa,GIS,-7.8425,36.891483,9
Volcán Barva,GIS,10.3028,-84.0338,12
Yanachaga Chimillén National Park,GIS,-10.493524,-75.201229,12
Yasuni,GIS,-0.671306,-76.4005,14
