site,protocol,latitude,longitude,downloads
Barro Colorado Nature Monument - Soberania National Park,Terrestrial Vertebrate,9.152102,-79.84648,124
Bukit Barisan,Terrestrial Vertebrate,-5.25,104.166667,181
Bwindi Impenetrable Forest,Terrestrial Vertebrate,-1.080556,29.661389,118
Caxiuanã,Terrestrial Vertebrate,-1.729167,-51.473611,205
Central Suriname Nature Reserve,Terrestrial Vertebrate,4.73752,-56.187794,128
Cocha Cashu - Manu National Park,Terrestrial Vertebrate,-11.856389,-71.721389,118
Korup National Park,Terrestrial Vertebrate,5.07389,8.85472,83
Manaus,Terrestrial Vertebrate,-2.929058,-59.976408,169
Nam Kading,Terrestrial Vertebrate,18.316667,104,117
Nouabalé Ndoki,Terrestrial Vertebrate,2.518805,16.595078,112
Pasoh Forest Reserve,Terrestrial Vertebrate,2.982,102.313,56
Ranomafana,Terrestrial Vertebrate,-21.1333,47.4167,87
Udzungwa,Terrestrial Vertebrate,-7.8425,36.891483,192
Volcán Barva,Terrestrial Vertebrate,10.3028,-84.0338,336
Yanachaga Chimillén National Park,Terrestrial Vertebrate,-10.493524,-75.201229,87
Yasuni,Terrestrial Vertebrate,-0.671306,-76.4005,124
