site,protocol,latitude,longitude,downloads
Barro Colorado Nature Monument - Soberania National Park,Vegetation,9.152102,-79.84648,55
Bukit Barisan,Vegetation,-5.25,104.166667,101
Bwindi Impenetrable Forest,Vegetation,-1.080556,29.661389,89
Caxiuanã,Vegetation,-1.729167,-51.473611,313
Central Suriname Nature Reserve,Vegetation,4.73752,-56.187794,90
Cocha Cashu - Manu National Park,Vegetation,-11.856389,-71.721389,57
Korup National Park,Vegetation,5.07389,8.85472,73
Manaus,Vegetation,-2.929058,-59.976408,292
Nam Kading,Vegetation,18.316667,104,91
Nouabalé Ndoki,Vegetation,2.518805,16.595078,88
Pasoh Forest Reserve,Vegetation,2.982,102.313,57
Ranomafana,Vegetation,-21.1333,47.4167,98
Udzungwa,Vegetation,-7.8425,36.891483,105
Volcán Barva,Vegetation,10.3028,-84.0338,348
Yanachaga Chimillén National Park,Vegetation,-10.493524,-75.201229,61
Yasuni,Vegetation,-0.671306,-76.4005,42
