date,registrations,downloads
2007-09,2,0
2007-10,1,0
2007-11,82,0
2008-02,1,0
2008-03,1,0
2008-04,4,0
2008-05,28,0
2008-06,0,27
2008-06,5,0
2008-07,0,10
2008-07,1,0
2008-08,0,26
2008-08,4,0
2008-09,0,2
2008-09,1,0
2008-10,12,0
2008-10,0,25
2008-11,4,0
2008-11,0,14
2008-12,0,7
2008-12,4,0
2009-01,25,0
2009-01,0,40
2009-02,7,0
2009-02,0,7
2009-03,8,0
2009-03,0,29
2009-04,10,0
2009-04,0,46
2009-05,12,0
2009-05,0,46
2009-06,0,25
2009-06,10,0
2009-07,2,0
2009-08,4,0
2009-08,0,3
2009-09,17,0
2009-09,0,4
2009-10,8,0
2009-10,0,2
2009-11,13,0
2009-11,0,1
2009-12,7,0
2009-12,0,8
2010-01,23,0
2010-01,0,10
2010-02,6,0
2010-02,0,7
2010-03,14,0
2010-03,0,25
2010-04,4,0
2010-04,0,157
2010-05,0,20
2010-05,6,0
2010-06,6,0
2010-06,0,22
2010-07,8,0
2010-07,0,13
2010-08,12,0
2010-08,0,1
2010-09,4,0
2010-09,0,14
2010-10,0,13
2010-10,5,0
2010-11,0,47
2010-11,8,0
2010-12,25,0
2010-12,0,19
2011-01,4,0
2011-01,0,10
2011-02,0,20
2011-02,7,0
2011-03,8,0
2011-03,0,38
2011-04,0,36
2011-04,20,0
2011-05,18,0
2011-05,0,42
2011-06,18,0
2011-06,0,53
2011-07,0,14
2011-08,55,0
2011-08,0,40
2011-09,0,56
2011-09,29,0
2011-10,12,0
2011-10,0,100
2011-11,24,0
2011-11,0,108
2011-12,0,256
2011-12,16,0
2012-01,0,90
2012-01,18,0
2012-02,0,82
2012-02,24,0
2012-03,0,126
2012-03,21,0
2012-04,9,0
2012-04,0,92
2012-05,16,0
2012-05,0,78
2012-06,14,0
2012-06,0,130
2012-07,0,118
2012-07,22,0
2012-08,0,107
2012-08,12,0
2012-09,0,80
2012-09,10,0
2012-10,0,54
2012-10,22,0
2012-11,0,63
2012-11,19,0
2012-12,0,40
2012-12,15,0
2013-01,0,125
2013-01,29,0
2013-02,63,0
2013-02,0,154
2013-03,49,0
2013-03,0,146
2013-04,0,161
2013-04,38,0
2013-05,0,61
2013-05,14,0
2013-06,0,160
2013-06,14,0
2013-07,0,258
2013-07,12,0
2013-08,9,0
2013-08,0,158
2013-09,0,176
2013-09,8,0
2013-10,0,142
2013-10,24,0
2013-11,15,0
2013-11,0,111
2013-12,0,71
2013-12,32,0
2014-01,0,95
2014-01,22,0
2014-02,0,192
2014-02,17,0
2014-03,8,0
2014-03,0,170
2014-04,16,0
2014-04,0,90
2014-05,26,0
2014-05,0,280
2014-06,32,0
2014-06,0,334
2014-07,1,0
2014-07,0,33
