Date,Registrations,Downloads,CUMUREG,CUMUDL,FREQREG,FREQDL
2007-09,2,0,2,0,0.001618123,0
2007-10,1,0,3,0,0.002427184,0
2007-11,82,0,85,0,0.068770227,0
2008-02,1,0,86,0,0.069579288,0
2008-03,1,0,87,0,0.07038835,0
2008-04,4,0,91,0,0.073624595,0
2008-05,28,0,119,0,0.096278317,0
2008-06,5,27,124,27,0.100323625,0.00498155
2008-07,1,10,125,37,0.101132686,0.006826568
2008-08,4,26,129,63,0.104368932,0.011623616
2008-09,1,2,130,65,0.105177994,0.01199262
2008-10,12,25,142,90,0.114886731,0.016605166
2008-11,4,14,146,104,0.118122977,0.019188192
2008-12,4,7,150,111,0.121359223,0.020479705
2009-01,25,40,175,151,0.141585761,0.027859779
2009-02,7,7,182,158,0.147249191,0.029151292
2009-03,8,29,190,187,0.153721683,0.034501845
2009-04,10,46,200,233,0.161812298,0.04298893
2009-05,12,46,212,279,0.171521036,0.051476015
2009-06,10,25,222,304,0.17961165,0.056088561
2009-07,2,0,224,304,0.181229773,0.056088561
2009-08,4,3,228,307,0.184466019,0.056642066
2009-09,17,4,245,311,0.198220065,0.057380074
2009-10,8,2,253,313,0.204692557,0.057749077
2009-11,13,1,266,314,0.215210356,0.057933579
2009-12,7,8,273,322,0.220873786,0.059409594
2010-01,23,10,296,332,0.239482201,0.061254613
2010-02,6,7,302,339,0.24433657,0.062546125
2010-03,14,25,316,364,0.25566343,0.067158672
2010-04,4,157,320,521,0.258899676,0.096125461
2010-05,6,20,326,541,0.263754045,0.099815498
2010-06,6,22,332,563,0.268608414,0.103874539
2010-07,8,13,340,576,0.275080906,0.106273063
2010-08,12,1,352,577,0.284789644,0.106457565
2010-09,4,14,356,591,0.28802589,0.10904059
2010-10,5,13,361,604,0.292071197,0.111439114
2010-11,8,47,369,651,0.298543689,0.120110701
2010-12,25,19,394,670,0.318770227,0.123616236
2011-01,4,10,398,680,0.322006472,0.125461255
2011-02,7,20,405,700,0.327669903,0.129151292
2011-03,8,38,413,738,0.334142395,0.136162362
2011-04,20,36,433,774,0.350323625,0.142804428
2011-05,18,42,451,816,0.364886731,0.150553506
2011-06,18,53,469,869,0.379449838,0.160332103
2011-07,0,14,469,883,0.379449838,0.162915129
2011-08,55,40,524,923,0.42394822,0.170295203
2011-09,29,56,553,979,0.447411003,0.180627306
2011-10,12,100,565,1079,0.457119741,0.199077491
2011-11,24,108,589,1187,0.476537217,0.21900369
2011-12,16,256,605,1443,0.489482201,0.266236162
2012-01,18,90,623,1533,0.504045307,0.282841328
2012-02,24,82,647,1615,0.523462783,0.29797048
2012-03,21,126,668,1741,0.540453074,0.321217712
2012-04,9,92,677,1833,0.547734628,0.338191882
2012-05,16,78,693,1911,0.560679612,0.352583026
2012-06,14,130,707,2041,0.572006472,0.376568266
2012-07,22,118,729,2159,0.589805825,0.398339483
2012-08,12,107,741,2266,0.599514563,0.418081181
2012-09,10,80,751,2346,0.607605178,0.432841328
2012-10,22,54,773,2400,0.625404531,0.442804428
2012-11,19,63,792,2463,0.640776699,0.454428044
2012-12,15,40,807,2503,0.652912621,0.461808118
2013-01,29,125,836,2628,0.676375405,0.484870849
2013-02,63,154,899,2782,0.727346278,0.513284133
2013-03,49,146,948,2928,0.766990291,0.540221402
2013-04,38,161,986,3089,0.797734628,0.569926199
2013-05,14,61,1000,3150,0.809061489,0.581180812
2013-06,14,160,1014,3310,0.82038835,0.610701107
2013-07,12,258,1026,3568,0.830097087,0.658302583
2013-08,9,158,1035,3726,0.837378641,0.687453875
2013-09,8,176,1043,3902,0.843851133,0.719926199
2013-10,24,142,1067,4044,0.863268608,0.746125461
2013-11,15,111,1082,4155,0.875404531,0.766605166
2013-12,32,71,1114,4226,0.901294498,0.779704797
2014-01,22,95,1136,4321,0.919093851,0.797232472
2014-02,17,192,1153,4513,0.932847896,0.832656827
2014-03,8,170,1161,4683,0.939320388,0.86402214
2014-04,16,90,1177,4773,0.952265372,0.880627306
2014-05,26,280,1203,5053,0.973300971,0.932287823
2014-06,32,334,1235,5387,0.999190939,0.993911439
2014-07,1,33,1236,5420,1,1
