bucket,count
200806,27
200807,10
200808,26
200809,2
200810,25
200811,14
200812,7
200901,40
200902,7
200903,29
200904,46
200905,46
200906,25
200908,3
200909,4
200910,2
200911,1
200912,8
201001,10
201002,7
201003,25
201004,157
201005,20
201006,22
201007,13
201008,1
201009,14
201010,13
201011,47
201012,19
201101,10
201102,20
201103,38
201104,36
201105,42
201106,53
201107,14
201108,40
201109,56
201110,100
201111,108
201112,256
201201,90
201202,82
201203,126
201204,92
201205,78
201206,130
201207,118
201208,107
201209,80
201210,54
201211,63
201212,40
201301,125
201302,154
201303,146
201304,161
201305,61
201306,160
201307,258
201308,158
201309,176
201310,142
201311,111
201312,71
201401,95
201402,192
201403,170
201404,90
201405,280
201406,334
201407,33
