bucket,count
2008-06,27
2008-07,10
2008-08,26
2008-09,2
2008-10,25
2008-11,14
2008-12,7
2009-01,40
2009-02,7
2009-03,29
2009-04,46
2009-05,46
2009-06,25
2009-08,3
2009-09,4
2009-10,2
2009-11,1
2009-12,8
2010-01,10
2010-02,7
2010-03,25
2010-04,157
2010-05,20
2010-06,22
2010-07,13
2010-08,1
2010-09,14
2010-10,13
2010-11,47
2010-12,19
2011-01,10
2011-02,20
2011-03,38
2011-04,36
2011-05,42
2011-06,53
2011-07,14
2011-08,40
2011-09,56
2011-10,100
2011-11,108
2011-12,256
2012-01,90
2012-02,82
2012-03,126
2012-04,92
2012-05,78
2012-06,130
2012-07,118
2012-08,107
2012-09,80
2012-10,54
2012-11,63
2012-12,40
2013-01,125
2013-02,154
2013-03,146
2013-04,161
2013-05,61
2013-06,160
2013-07,258
2013-08,158
2013-09,176
2013-10,142
2013-11,111
2013-12,71
2014-01,95
2014-02,192
2014-03,170
2014-04,90
2014-05,280
2014-06,334
2014-07,33
